Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Mecklenburg-Vorpommern;Hochschule Neubrandenburg;Dipl.-Ing. Lutz Braun;;Architekturfabrik Neubrandenburg;;https://www.hs-nb.de/start/hochschule/hsorgane/hsrat/
Mecklenburg-Vorpommern;Hochschule Neubrandenburg;Roland Eifel;;Barmer Ersatzkasse;;https://www.hs-nb.de/start/hochschule/hsorgane/hsrat/
Mecklenburg-Vorpommern;Hochschule Neubrandenburg;Dr. rer.pol. Christine Färber;;Competence Consulting;;https://www.hs-nb.de/start/hochschule/hsorgane/hsrat/
Mecklenburg-Vorpommern;FH Wismar;Herr Dr.-Ing. Ulrich Förster;Vorsitzender;Lloyd's Register EMEA;;http://www.hs-wismar.de/was/hochschule/organisation/gremien/hochschulrat/
Mecklenburg-Vorpommern;FH Wismar;Herr David Pangerl, Master of Laws (LL.M.);;Buckstay GmbH;;http://www.hs-wismar.de/was/hochschule/organisation/gremien/hochschulrat/
Mecklenburg-Vorpommern;FH Wismar;Herr Tom Streicher, Dipl.-Ing.;;ECOVIS Grieger Mallison;;http://www.hs-wismar.de/was/hochschule/organisation/gremien/hochschulrat/
Berlin;FU Berlin;Dr. Johannes Evers;;Landesbank Berlin AG;;http://www.fu-berlin.de/einrichtungen/organe/gremien_kommissionen/kuratorium/
Berlin;Hochschule für Technik und Wirtschaft Berlin;Mathis Kuchejda;Vorsitzender;Schmidt + Haensch GmbH & Co.;;https://www.htw-berlin.de/hochschulstruktur/akademische-selbstverwaltung/kuratorium/mitglieder/
Berlin;Humboldt-Universität zu Berlin;Burkhard Ischler;;Siemens;;http://gremien.hu-berlin.de/de/kuratorium/mitglieder
Berlin;Weißensee Kunsthochschule Berlin;Dieter Puchta;;Investitionsbank Berlin;;http://www.kh-berlin.de/hochschule/struktur/hochschulrat.html
Berlin;TU Berlin;Konrad Nassauer;;Borsig GmbH;bis 2014;https://www.tu-berlin.de/fileadmin/ref23/KU/KU_Sonstiges/Mitglieder_des_KU_2014-2016.pdf
Berlin;TU Berlin;Dietrich Wörner;;Deutsches Zentrum für Luft- und Raumfahrt;bis 2014;https://www.tu-berlin.de/fileadmin/ref23/KU/KU_Sonstiges/Mitglieder_des_KU_2014-2016.pdf
Berlin;SRH Hochschule Berlin (Priv. FH);PROF. KLAUS HEKKING;Vorsitzender;SRH Holding;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);DR. HANS-JüRGEN AHLBRECHT;;debis Immobilienmanagement;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);BERND EULER;;Siemens;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);DR. ARMGARD VON REDEN;;IBM;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);DR. HERBERT RISCHE;;Deutsche Rentenversicherung Bund;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);GRäFIN ANNETTE VON WEDEL;;Deutsche Bahn;Deutsche Bahn AG;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;Hochschule für Musik Berlin Hanns Eisler;Thomas Greiner;;DUSSMANN AG & Co. KgaA;;http://www.hfm-berlin.de/hochschule/struktur/hochschulrat/
Berlin;Hochschule für Musik Berlin Hanns Eisler;Christian Töpper;;Taxxus Media GmbH;;http://www.hfm-berlin.de/hochschule/struktur/hochschulrat/
Berlin;Beuth-Hochschule für Technik Berlin;Knauer, Alexandra;;Koenig & Bauer AG;;https://www.beuth-hochschule.de/kuratorium/
Berlin;Beuth-Hochschule für Technik Berlin;Kossack, Gabriele, Dipl.-Ing.;;Deloitte & Touche;;https://www.beuth-hochschule.de/kuratorium/
Berlin;Beuth-Hochschule für Technik Berlin;Uppenkamp, Reinhard, Dr.;;Berlin-Chemie AG;;https://www.beuth-hochschule.de/kuratorium/
Bayern;TU München (ohne Klinikum);Susanne Klatten;;BMW;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Susanne Klatten;;SGL Carbon GmbH;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Susanne Klatten;;Altana AG;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Dr. Nicola Leibinger-Kammüller;;Trumpf;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Peter Löscher (ehem. Vorstand);;Siemens;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Dr.-Ing. Dr.-Ing. E.h. Norbert Reithofer;;BMW;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;Universität Würzburg (ohne Klinikum);Claus Bolza-Schünemann;;Koenig & Bauer AG;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Prof. Dr. Wolfgang Grewe;;Deloitte & Touche;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Ingrid Hunger;;Walter Hunger GmbH & Co.KG;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
