Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;;Stiftung Jugend, Natur und Heimat der Sparkasse Hohenlohekreis, Künzelsau;;;;;;
;;Entrepreneurship;ebm-papst;;610000;10 Jahre;;;
;;Dynamik und Modellbildung von Kfz-Systemen;Bosch;;650000;10 Jahre;Verlängerung um 5 Jahre durch den Stifter;;
;;"Kfz-Technik (Fahrwerk und Antriebsstrang);";GETRAG - Getriebe- und ZahnradfabrikHermann Hagenmeyer GmbH;;650000;10 Jahre;;;
;;;Cie KG Untergruppenbach;;;;;;
;;Elektrotechnik, insbesondere Informationssysteme im Kfz;Valeo Schalter und Sensoren GmbH Bietigheim-Bissingen;;650000;10 Jahre;;;
;;Produktion und Logistik;Stadt Heilbronn;;650000;10 Jahre;;;
;;Elektrotechnik, insbes. Leistungselektronik, elektr. Antriebe sowei Mess- und Sensortechnik;Thomas Gessmann-Stiftung Leingarten;;1150000;10 Jahre;;;
;;Marketing und Vertrieb Osteuropa;Berner Group;;900000;10 Jahre;;;
;;Technisches Logistikmanagement;Dieter-Schwarz-Stiftung;;900000;10 Jahre;;;
;;Hotelmanagement, Gastronomie;Stadt Heilbronn;;900000;10 Jahre;;;
;;Elektrische Energietechnik und Regenerative Energiesysteme;ebm-papst;;900000;10 Jahre;;;
;;Technisches Logistikmanagement;Würth;;450000;5 Jahre;;Adolf Würth GmbH & Co. KG;
;;;Bechtle;;;;;;
;;;Firma Müller ;;;;;;
